aX,aY,aZ
-0.459,-0.907,0.010
-0.457,-0.908,0.015
-0.456,-0.906,0.015
-0.455,-0.908,0.012
-0.454,-0.908,0.013
-0.457,-0.908,0.017
-0.463,-0.908,0.019
-0.467,-0.910,0.017
-0.461,-0.909,0.015
-0.453,-0.904,0.017
-0.460,-0.909,0.010
-0.462,-0.908,0.011
-0.457,-0.907,0.013
-0.455,-0.904,0.014
-0.458,-0.906,0.015
-0.459,-0.905,0.016
-0.465,-0.908,0.008
-0.455,-0.908,0.011
-0.460,-0.909,0.011
-0.450,-0.904,0.015
-0.457,-0.909,0.012
-0.454,-0.908,0.018
-0.455,-0.911,0.015
-0.461,-0.913,0.007
-0.461,-0.909,0.011
-0.458,-0.908,0.015
-0.457,-0.909,0.017
-0.460,-0.909,0.013
-0.454,-0.907,0.012
-0.454,-0.904,0.014
-0.456,-0.909,0.013
-0.455,-0.907,0.011
-0.455,-0.910,0.008
-0.455,-0.909,0.009
-0.452,-0.911,0.006
-0.451,-0.910,0.013
-0.453,-0.908,0.015
-0.455,-0.905,0.016
-0.460,-0.910,0.017
-0.458,-0.908,0.017
-0.457,-0.909,0.019
-0.459,-0.907,0.024
-0.467,-0.907,0.019
-0.471,-0.897,0.019
-0.467,-0.897,0.016
-0.459,-0.909,0.016
-0.455,-0.907,0.015
-0.453,-0.904,0.015
-0.452,-0.904,0.017
-0.452,-0.910,0.020
-0.459,-0.902,0.021
-0.460,-0.914,0.011
-0.464,-0.912,0.012
-0.460,-0.910,0.010
-0.452,-0.905,0.012
-0.458,-0.905,0.015
-0.457,-0.904,0.014
-0.462,-0.907,0.020
-0.464,-0.906,0.018
-0.462,-0.908,0.019
-0.455,-0.910,0.014
-0.450,-0.909,0.012
-0.452,-0.910,0.007
-0.452,-0.911,0.004
-0.450,-0.912,0.006
-0.449,-0.909,0.011
-0.462,-0.908,0.013
-0.463,-0.907,0.014
-0.467,-0.899,0.018
-0.455,-0.914,0.010
-0.451,-0.904,0.006
-0.448,-0.911,0.011
-0.454,-0.915,0.017
-0.459,-0.906,0.014
-0.461,-0.906,0.013
-0.455,-0.915,0.013
-0.442,-0.903,0.014
-0.468,-0.917,0.014
-0.453,-0.903,0.008
-0.461,-0.905,0.005
-0.441,-0.903,0.012
-0.452,-0.906,0.007
-0.453,-0.885,0.016
-0.464,-0.925,0.006
-0.459,-0.918,0.012
-0.480,-0.934,0.004
-0.463,-0.906,0.005
-0.457,-0.898,0.010
-0.461,-0.901,0.012
-0.459,-0.902,0.011
-0.463,-0.889,0.003
-0.446,-0.904,0.015
-0.467,-0.943,0.000
-0.457,-0.899,0.021
-0.465,-0.905,0.014
-0.468,-0.901,0.013
-0.462,-0.897,0.015
-0.461,-0.901,0.003
-0.469,-0.908,0.006
-0.460,-0.907,0.013
-0.459,-0.907,0.017
-0.458,-0.908,0.018
-0.463,-0.908,0.014
-0.458,-0.904,0.010
-0.457,-0.907,0.012
-0.460,-0.911,0.013
-0.468,-0.900,0.024
-0.463,-0.902,0.006
-0.468,-0.900,0.016
-0.467,-0.901,0.017
-0.465,-0.907,0.017
-0.463,-0.906,0.021
-0.458,-0.911,0.020
-0.453,-0.903,0.017
-0.463,-0.907,0.017
-0.460,-0.904,0.018
-0.461,-0.905,0.011
-0.462,-0.903,0.017
-0.471,-0.905,0.015
-0.461,-0.905,0.022
-0.458,-0.903,0.016
-0.457,-0.911,0.013
-0.458,-0.902,0.020
-0.466,-0.908,0.030
-0.465,-0.897,0.007
-0.462,-0.895,0.014
-0.467,-0.904,0.009
-0.471,-0.907,0.022
-0.457,-0.908,0.019
-0.455,-0.906,0.014
-0.462,-0.902,0.018
-0.458,-0.903,0.024
-0.462,-0.907,0.030
-0.466,-0.906,0.018
-0.455,-0.908,0.015
-0.470,-0.918,-0.006
-0.469,-0.936,-0.035
-0.461,-0.920,-0.017
-0.456,-0.907,0.010
-0.459,-0.893,0.035
-0.459,-0.903,0.023
-0.463,-0.912,-0.010
-0.458,-0.922,-0.016
-0.456,-0.911,0.021
-0.459,-0.914,0.000
-0.454,-0.920,-0.022
-0.467,-0.873,0.050
-0.464,-0.905,0.015
-0.454,-0.913,0.028
-0.449,-0.917,0.021
-0.458,-0.918,0.024
-0.462,-0.910,0.025
-0.460,-0.909,0.027
-0.447,-0.909,0.024
-0.435,-0.909,0.019
-0.446,-0.907,0.020
-0.474,-0.905,0.028
-0.467,-0.909,0.012
-0.470,-0.907,0.027
-0.449,-0.912,0.018
-0.452,-0.906,0.026
-0.451,-0.913,0.009
-0.451,-0.904,0.024
-0.452,-0.909,0.034
-0.452,-0.907,0.026
-0.457,-0.915,0.024
-0.461,-0.917,0.032
-0.461,-0.915,0.027
-0.462,-0.905,0.026
-0.457,-0.899,0.037
-0.457,-0.908,0.021
-0.440,-0.925,-0.007
-0.466,-0.914,0.000
-0.454,-0.901,0.019
-0.489,-0.881,0.007
-0.464,-0.904,0.034
-0.458,-0.904,0.031
-0.461,-0.905,0.033
-0.457,-0.908,0.023
-0.458,-0.907,0.020
-0.453,-0.909,0.017
-0.458,-0.910,0.021
-0.456,-0.908,0.021
-0.454,-0.905,0.026
-0.463,-0.906,0.018
-0.459,-0.904,0.025
