aX,aY,aZ
-0.833,0.017,-0.610
-0.865,0.017,-0.507
-0.903,-0.051,-0.519
-0.775,-0.238,-0.693
-0.678,-0.122,-0.850
-0.668,-0.046,-0.787
-0.696,0.025,-0.591
-0.632,-0.054,-0.420
-0.615,-0.064,-0.410
-0.612,-0.058,-0.382
-0.625,0.011,-0.274
-0.628,-0.004,-0.212
-0.625,-0.107,-0.427
-0.540,-0.195,-0.430
-0.479,-0.209,-0.529
-0.477,-0.217,-0.963
-0.610,-0.361,-1.416
-0.660,-0.281,-1.461
-0.362,-0.138,-1.035
-0.532,0.023,-0.682
-0.618,-0.015,-0.565
-0.819,0.012,-0.400
-0.875,-0.028,-0.271
-0.809,-0.024,-0.304
-0.782,0.000,-0.456
-0.742,-0.085,-0.601
-0.754,-0.010,-0.572
-0.823,-0.016,-0.521
-0.580,-0.227,-0.630
-0.530,-0.177,-0.632
-0.652,0.001,-0.476
-0.940,-0.159,-0.741
-1.039,-0.227,-0.792
-1.166,-0.526,-1.100
-0.731,-0.320,-0.789
-0.937,-0.015,-0.631
-1.070,-0.332,-0.574
-0.976,-0.378,-0.495
-0.903,-0.406,-0.460
-0.932,-0.467,-0.473
-1.110,-0.608,-0.691
-1.195,-0.546,-0.807
-1.050,-0.354,-0.813
-0.770,-0.344,-0.410
-0.793,-0.278,-0.271
-0.717,-0.423,-0.151
-0.846,-0.509,-0.273
-0.901,-0.445,-0.442
-0.841,-0.384,-0.585
-0.727,-0.402,-0.570
-0.702,-0.389,-0.535
-0.745,-0.331,-0.490
-0.717,-0.191,-0.554
-0.701,-0.143,-0.590
-0.733,-0.161,-0.613
-0.741,-0.196,-0.648
-0.766,-0.231,-0.608
-0.731,-0.281,-0.536
-0.589,-0.295,-0.656
-0.543,-0.250,-0.749
-0.585,-0.163,-0.722
-0.919,-0.254,-0.341
-0.926,-0.267,-0.202
-0.724,-0.427,-0.183
-0.575,-0.477,-0.218
-0.427,-0.546,-0.388
-0.331,-0.639,-0.786
-0.782,-0.001,-0.684
-0.917,0.114,-0.571
-0.674,-0.007,-0.580
-0.572,-0.123,-0.512
-0.581,-0.169,-0.503
-0.983,0.011,-0.813
-1.106,-0.062,-1.180
-1.181,-0.091,-1.124
-0.898,-0.116,-0.876
-0.776,-0.098,-0.748
-0.865,-0.090,-0.758
-0.883,-0.207,-0.737
-0.846,-0.136,-0.875
-0.903,-0.179,-1.024
-0.890,-0.087,-0.766
-0.858,0.075,-0.591
-0.881,0.069,-0.586
-0.808,0.071,-0.507
-0.700,-0.012,-0.593
-0.693,-0.017,-0.540
-0.678,0.038,-0.420
-0.674,0.097,-0.454
-0.692,0.005,-0.514
-0.649,-0.180,-0.590
-0.655,-0.126,-0.546
-0.652,-0.098,-0.489
-0.638,-0.030,-0.490
-0.668,-0.084,-0.628
-0.640,-0.110,-0.631
-0.566,-0.135,-0.593
-0.574,-0.184,-0.665
-0.615,-0.201,-0.767
-0.645,-0.132,-0.922
-0.620,-0.015,-0.746
-0.593,0.000,-0.713
-0.596,0.008,-0.678
-0.601,0.034,-0.606
-0.679,0.018,-0.545
-0.656,-0.103,-0.428
-0.671,-0.097,-0.424
-0.662,-0.113,-0.484
-0.684,-0.186,-0.579
-0.809,-0.021,-0.612
-0.861,-0.077,-0.689
-0.706,-0.179,-0.692
-0.606,0.034,-0.591
-0.625,0.218,-0.534
-0.694,0.089,-0.551
-0.880,-0.014,-0.607
-1.106,-0.040,-0.639
-1.258,-0.391,-0.922
-0.686,-0.638,-0.738
-0.757,-0.447,-0.609
-0.789,-0.418,-0.539
-0.943,-0.504,-0.720
-1.096,-0.568,-0.821
-1.388,-0.526,-0.946
-1.556,-0.388,-1.133
-1.192,-0.354,-0.702
-0.954,-0.359,-0.220
-0.555,-0.518,-0.081
-0.558,-0.591,-0.167
-0.808,-0.624,-0.312
-1.014,-0.375,-0.259
-0.936,-0.417,-0.309
-0.845,-0.446,-0.353
-0.712,-0.452,-0.384
-0.672,-0.447,-0.417
-0.753,-0.378,-0.490
-0.874,-0.346,-0.503
-0.831,-0.354,-0.523
-0.785,-0.255,-0.630
-0.809,-0.278,-0.710
-0.762,-0.274,-0.680
-0.689,-0.248,-0.679
-0.648,-0.324,-0.646
-0.590,-0.323,-0.584
-0.582,-0.319,-0.536
-0.708,-0.361,-0.456
-0.855,-0.359,-0.501
-0.876,-0.370,-0.505
-0.875,-0.343,-0.428
-0.859,-0.354,-0.396
-0.832,-0.377,-0.356
-0.741,-0.425,-0.437
-0.637,-0.380,-0.588
-0.596,-0.354,-0.674
-0.697,-0.296,-0.636
-0.772,-0.258,-0.506
-0.789,-0.269,-0.535
-0.775,-0.313,-0.535
-0.735,-0.392,-0.592
-0.697,-0.361,-0.623
-0.726,-0.358,-0.558
-0.703,-0.316,-0.432
-0.638,-0.284,-0.395
-0.527,-0.307,-0.538
-0.514,-0.320,-0.651
-0.582,-0.245,-0.707
-0.697,-0.109,-0.644
-0.716,-0.033,-0.524
-0.719,-0.091,-0.423
-0.817,-0.084,-0.455
-0.982,-0.093,-0.943
-1.087,-0.100,-1.226
-1.092,-0.112,-1.150
-0.920,-0.086,-0.671
-0.868,-0.061,-0.551
-0.934,-0.083,-0.497
-0.926,-0.148,-0.580
-0.929,-0.142,-0.700
-0.891,-0.163,-0.965
-0.911,0.014,-0.684
-0.884,0.070,-0.576
-0.848,0.101,-0.492
-0.757,0.068,-0.497
-0.701,0.088,-0.546
-0.649,0.128,-0.580
-0.593,0.080,-0.533
-0.701,-0.058,-0.537
-0.777,-0.053,-0.514
-0.785,-0.025,-0.490
-0.756,-0.065,-0.574
-0.729,-0.064,-0.590
-0.697,-0.089,-0.601
-0.668,-0.088,-0.601
-0.662,-0.092,-0.630
-0.572,-0.101,-0.753
-0.744,-0.121,-0.889
-0.644,-0.165,-0.966
-0.624,-0.083,-0.833
-0.601,-0.064,-0.775
-0.598,-0.086,-0.749
-0.635,-0.112,-0.739
-0.647,-0.062,-0.644
-0.653,0.018,-0.619
-0.682,-0.089,-0.625
-0.778,0.053,-0.508
-0.741,0.042,-0.477
-0.732,0.052,-0.448
-0.741,0.074,-0.433
-0.740,0.050,-0.444
-0.703,-0.082,-0.483
-0.573,-0.245,-0.496
-0.557,-0.238,-0.487
-0.607,-0.155,-0.501
-0.702,-0.090,-0.460
-0.741,-0.090,-0.448
-0.723,-0.014,-0.542
-0.733,0.113,-0.570
-0.730,0.146,-0.542
-0.848,0.070,-0.516
-1.126,-0.127,-0.708
-1.194,-0.487,-0.911
-1.009,-0.725,-1.011
-0.946,-0.528,-0.504
-0.994,-0.550,-0.791
-1.298,-0.614,-0.922
-1.610,-0.524,-1.269
-0.768,-0.034,-0.566
-0.733,-0.118,-0.350
-0.631,-0.431,-0.014
-0.761,-0.533,-0.387
-0.801,-0.507,-0.569
-0.843,-0.428,-0.427
-0.851,-0.488,-0.371
-0.830,-0.460,-0.374
-0.806,-0.377,-0.437
-0.828,-0.285,-0.535
-0.830,-0.278,-0.565
-0.828,-0.323,-0.500
-0.799,-0.357,-0.511
-0.756,-0.373,-0.516
-0.728,-0.361,-0.583
-0.728,-0.388,-0.586
-0.734,-0.420,-0.540
-0.776,-0.405,-0.475
-0.784,-0.392,-0.480
-0.783,-0.377,-0.493
-0.801,-0.366,-0.502
-0.791,-0.315,-0.568
-0.752,-0.348,-0.515
-0.744,-0.362,-0.508
-0.729,-0.368,-0.519
-0.716,-0.367,-0.491
-0.707,-0.370,-0.484
-0.726,-0.352,-0.459
-0.769,-0.392,-0.456
-0.764,-0.373,-0.487
-0.731,-0.327,-0.551
-0.696,-0.322,-0.549
-0.673,-0.302,-0.548
-0.731,-0.185,-0.575
-0.785,-0.286,-0.430
-0.794,-0.429,-0.430
-0.704,-0.389,-0.480
-0.639,-0.307,-0.540
-0.747,-0.291,-0.555
-0.756,-0.328,-0.591
-0.623,-0.260,-0.698
-0.700,-0.242,-0.668
-0.741,-0.278,-0.475
-0.654,-0.273,-0.279
-0.609,-0.347,-0.278
-0.401,-0.392,-0.569
-0.464,-0.207,-0.835
-0.597,-0.061,-0.923
-0.802,0.097,-0.724
-0.946,-0.156,-0.439
-1.122,0.036,-0.853
-1.136,-0.140,-1.057
-1.126,-0.184,-0.891
-1.092,-0.189,-0.891
-0.904,-0.160,-0.654
-0.851,-0.136,-0.421
-0.870,-0.178,-0.410
-0.920,-0.157,-0.502
-0.924,-0.046,-0.676
-0.873,-0.003,-0.788
-0.794,0.055,-0.875
-0.811,0.111,-0.748
-0.791,0.100,-0.688
-0.756,0.070,-0.645
-0.715,0.056,-0.708
-0.717,0.107,-0.704
-0.700,0.116,-0.614
-0.694,0.035,-0.671
-0.694,-0.021,-0.741
-0.657,-0.166,-0.799
-0.686,-0.064,-0.779
-0.714,-0.060,-0.751
-0.681,-0.027,-0.739
-0.649,0.079,-0.641
-0.654,0.105,-0.581
-0.663,0.070,-0.527
-0.639,-0.031,-0.612
-0.641,-0.045,-0.637
-0.641,-0.035,-0.631
-0.650,-0.039,-0.656
-0.640,-0.056,-0.668
-0.613,-0.070,-0.692
-0.609,-0.074,-0.716
-0.616,-0.066,-0.710
-0.650,-0.078,-0.664
-0.677,-0.038,-0.704
-0.681,0.123,-0.742
-0.696,-0.112,-0.814
-0.607,-0.142,-0.813
-0.623,-0.142,-0.802
-0.656,-0.155,-0.732
-0.668,-0.144,-0.673
-0.660,-0.117,-0.645
-0.623,-0.091,-0.599
-0.625,-0.105,-0.587
-0.623,-0.146,-0.594
-0.617,-0.114,-0.675
-0.641,-0.079,-0.771
-0.665,-0.005,-0.787
-0.647,-0.048,-0.721
-0.658,-0.040,-0.660
-0.641,-0.018,-0.624
-0.716,-0.020,-0.639
-0.636,-0.001,-0.577
-0.654,0.011,-0.563
-0.677,-0.034,-0.568
