aX,aY,aZ
-0.607,-0.267,-0.598
-0.607,-0.267,-0.617
-0.557,-0.267,-0.564
-0.542,-0.195,-0.444
-0.560,-0.223,-0.453
-0.548,-0.211,-0.466
-0.537,-0.245,-0.512
-0.540,-0.360,-0.519
-0.536,-0.377,-0.530
-0.564,-0.353,-0.598
-0.619,-0.281,-0.652
-0.630,-0.277,-0.642
-0.666,-0.308,-0.746
-0.667,-0.518,-0.850
-0.660,-0.325,-0.569
-0.666,-0.248,-0.500
-0.685,-0.163,-0.303
-0.630,0.024,-0.951
-0.682,-0.045,-0.849
-0.725,-0.296,-0.687
-0.775,-0.488,-0.593
-0.771,-0.520,-0.526
-0.742,-0.421,-0.469
-0.767,-0.325,-0.392
-0.976,-0.201,-0.569
-1.490,-0.196,-1.093
-0.538,-1.276,-1.643
-0.459,-0.990,-1.368
-0.785,-0.391,-0.160
-0.730,0.296,0.102
-0.674,0.416,0.061
-0.690,-0.288,-0.051
-0.835,-0.941,-0.443
-0.691,-0.851,-0.480
-0.776,-0.622,-0.851
-0.916,-0.004,-0.720
-0.922,-0.336,-0.305
-0.809,-0.299,-0.184
-0.898,-0.376,-0.368
-0.874,-0.393,-0.395
-0.861,-0.246,-0.485
-0.847,-0.258,-0.449
-0.806,-0.325,-0.347
-0.870,-0.141,-0.296
-0.640,-0.435,-0.514
-0.643,-0.455,-0.576
-0.781,-0.491,-0.478
-1.045,0.022,-0.368
-1.044,-0.213,-0.504
-0.896,-0.170,-0.422
-0.913,-0.215,-0.414
-0.860,-0.234,-0.457
-0.794,-0.275,-0.468
-0.870,-0.322,-0.418
-0.845,-0.316,-0.405
-0.849,-0.215,-0.380
-0.905,-0.228,-0.422
-0.870,-0.252,-0.443
-0.863,-0.278,-0.494
-0.866,-0.321,-0.447
-0.841,-0.324,-0.423
-0.832,-0.346,-0.377
-0.842,-0.392,-0.401
-0.847,-0.390,-0.401
-0.935,-0.357,-0.368
-1.010,-0.347,-0.325
-1.004,-0.345,-0.334
-0.983,-0.349,-0.458
-0.982,-0.360,-0.574
-0.978,-0.374,-0.619
-1.050,-0.346,-0.656
-1.193,-0.311,-0.697
-1.264,-0.291,-0.711
-1.434,-0.199,-0.745
-1.414,-0.028,-0.765
-1.342,0.044,-0.801
-1.079,0.063,-0.770
-0.961,-0.035,-0.606
-1.178,-0.135,-0.563
-1.257,-0.137,-0.702
-1.054,-0.308,-0.498
-0.900,-0.479,-0.476
-0.735,-0.457,-0.487
-0.851,-0.164,-0.529
-0.900,-0.240,-0.921
-0.937,-0.141,-0.802
-0.961,-0.043,-0.461
-0.661,-0.034,-0.007
-0.660,-0.001,-0.195
-0.566,0.072,-0.298
-0.563,-0.015,-0.337
-0.541,-0.061,-0.388
-0.441,-0.130,-0.355
-0.387,-0.142,-0.414
-0.293,-0.262,-0.522
-0.277,-0.266,-0.564
-0.252,-0.224,-0.659
-0.274,-0.245,-0.755
-0.260,-0.257,-0.733
-0.291,-0.199,-0.688
-0.377,-0.099,-0.710
-0.427,-0.062,-0.722
-0.428,-0.068,-0.683
-0.409,-0.030,-0.712
-0.404,0.013,-0.748
-0.390,-0.036,-0.806
-0.468,-0.162,-0.898
-0.531,-0.214,-1.016
-0.633,-0.249,-1.101
-0.708,-0.232,-0.992
-0.778,-0.216,-0.852
-0.725,-0.408,-0.733
-0.673,-0.366,-0.930
-0.709,-0.414,-0.913
-0.753,-0.492,-0.840
-0.905,-0.381,-0.706
-0.884,-0.287,-0.678
