aX,aY,aZ
-0.864,-0.409,0.361
-0.865,-0.412,0.359
-0.861,-0.411,0.358
-0.860,-0.413,0.354
-0.864,-0.409,0.358
-0.865,-0.415,0.357
-0.865,-0.412,0.356
-0.864,-0.409,0.356
-0.868,-0.410,0.360
-0.866,-0.411,0.360
-0.867,-0.410,0.361
-0.865,-0.410,0.357
-0.864,-0.411,0.359
-0.863,-0.409,0.361
-0.866,-0.409,0.359
-0.866,-0.411,0.359
-0.864,-0.411,0.360
-0.865,-0.409,0.360
-0.864,-0.410,0.361
-0.865,-0.410,0.359
-0.863,-0.412,0.358
-0.864,-0.411,0.358
-0.864,-0.409,0.358
-0.866,-0.409,0.358
-0.864,-0.408,0.361
-0.866,-0.411,0.359
-0.865,-0.409,0.362
-0.865,-0.408,0.360
-0.864,-0.411,0.360
-0.865,-0.409,0.360
-0.865,-0.410,0.358
-0.862,-0.411,0.359
-0.863,-0.412,0.358
-0.866,-0.411,0.356
-0.865,-0.409,0.360
-0.864,-0.409,0.358
-0.864,-0.412,0.360
-0.863,-0.412,0.359
-0.868,-0.412,0.356
-0.863,-0.409,0.355
-0.864,-0.411,0.358
-0.867,-0.411,0.357
-0.863,-0.409,0.360
-0.869,-0.411,0.356
-0.866,-0.406,0.366
-0.863,-0.411,0.355
-0.861,-0.408,0.362
-0.863,-0.410,0.360
0.470,-0.621,-0.647
0.466,-0.556,-0.630
0.472,-0.544,-0.641
0.415,-0.551,-0.637
0.418,-0.594,-0.651
0.433,-0.628,-0.643
0.412,-0.628,-0.635
0.424,-0.605,-0.653
0.415,-0.570,-0.627
0.402,-0.616,-0.653
0.427,-0.658,-0.672
0.398,-0.668,-0.676
0.386,-0.510,-0.681
0.418,-0.615,-0.676
0.468,-0.663,-0.686
0.435,-0.617,-0.691
0.435,-0.606,-0.634
0.405,-0.602,-0.680
0.414,-0.619,-0.718
0.384,-0.623,-0.677
0.386,-0.612,-0.666
0.437,-0.610,-0.669
0.435,-0.613,-0.638
0.412,-0.603,-0.636
0.411,-0.627,-0.691
0.425,-0.639,-0.676
0.414,-0.638,-0.689
0.418,-0.617,-0.687
0.392,-0.547,-0.564
0.405,-0.557,-0.619
0.441,-0.594,-0.614
0.434,-0.605,-0.631
0.439,-0.599,-0.588
0.415,-0.573,-0.671
0.451,-0.606,-0.810
0.461,-0.548,-0.902
0.435,-0.542,-0.867
0.445,-0.551,-0.761
0.471,-0.578,-0.750
0.487,-0.589,-0.757
0.520,-0.569,-0.733
0.543,-0.558,-0.700
0.513,-0.570,-0.697
0.492,-0.602,-0.703
0.497,-0.617,-0.756
0.500,-0.635,-0.783
0.531,-0.678,-0.891
0.591,-0.613,-0.903
0.656,-0.705,-0.850
0.707,-0.650,-0.802
0.629,-0.663,-0.809
0.572,-0.725,-0.819
0.549,-0.885,-0.804
0.533,-1.074,-0.826
0.472,-1.160,-0.833
0.358,-0.990,-0.501
0.090,-0.988,-0.733
0.310,-0.883,-0.771
0.412,-1.250,-0.629
0.398,-1.199,-0.329
0.158,-1.133,-0.294
0.244,-1.052,-0.243
0.289,-0.954,-0.121
0.019,-0.824,0.405
0.451,-0.985,0.078
0.480,-1.016,-0.003
0.375,-0.967,-0.007
0.650,-0.998,0.070
0.389,-0.889,0.205
0.405,-0.845,0.327
0.466,-0.791,0.262
0.521,-0.771,0.237
0.417,-0.820,0.267
0.504,-0.755,0.328
0.548,-0.774,0.309
0.518,-0.749,0.391
0.451,-0.762,0.365
0.479,-0.743,0.360
0.498,-0.725,0.426
0.525,-0.657,0.427
0.648,-0.675,0.427
0.407,-0.601,0.406
0.555,-0.566,0.441
0.605,-0.598,0.500
0.479,-0.578,0.545
0.508,-0.536,0.407
0.514,-0.611,0.419
0.528,-0.484,0.633
0.543,-0.233,0.602
0.554,-0.262,0.626
0.586,-0.183,0.611
0.427,-0.212,0.584
0.605,-0.171,0.584
0.612,-0.155,0.651
0.498,-0.098,0.572
0.550,-0.015,0.628
0.639,0.039,0.762
0.543,0.104,0.668
0.767,0.071,0.809
0.696,0.125,0.662
0.637,0.184,0.790
0.829,0.222,0.600
0.553,0.278,0.727
0.577,0.359,0.606
0.684,0.329,0.639
0.542,0.400,0.599
0.609,0.517,0.530
0.573,0.531,0.510
0.625,0.597,0.472
0.595,0.616,0.405
0.616,0.607,0.364
0.559,0.665,0.361
0.528,0.709,0.344
0.524,0.676,0.329
0.492,0.691,0.311
0.534,0.801,0.203
0.492,0.875,0.142
0.385,0.905,0.006
0.490,1.034,-0.047
0.452,1.034,-0.047
0.531,0.991,-0.026
0.579,0.917,0.025
0.579,0.816,0.058
0.482,0.758,0.184
0.447,0.778,0.199
0.434,0.813,0.211
0.451,0.826,0.175
0.492,0.880,0.144
0.491,0.868,0.124
0.545,0.903,0.071
0.553,0.924,0.033
0.546,0.944,0.015
0.374,1.061,0.044
0.447,1.048,0.077
0.444,1.020,0.113
0.497,0.854,0.100
0.511,0.760,0.098
0.571,0.798,0.124
0.603,0.868,0.231
0.580,0.645,0.260
0.615,0.515,0.242
0.604,0.449,0.342
0.596,0.380,0.420
0.533,0.341,0.460
0.509,0.123,0.420
0.579,0.086,0.533
0.544,0.043,0.526
0.578,-0.020,0.580
